Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Viên uống giảm cân DHC 30 ngày,Sản phẩm thường,Thuốc - TPCN,4511413623169,4511413623169,Có,350000,365000,360000,500000,365000,370000,Gói,350000,10,350000,0,350000,10,350000,0,350000,0
Viên Uống DHC Rau Củ 30 Ngày ,Sản phẩm thường,Thuốc - TPCN,4511413623688,4511413623688,Có,150000,180000,175000,250000,180000,185000,Gói,150000,10,150000,0,150000,20,150000,0,150000,0
Tảo biển tăng chiều cao Shinshin Kakumei 300 viên,Sản phẩm thường,Thuốc - TPCN,4511606904853,4511606904853,Có,310000,325000,320000,450000,325000,330000,Hộp (60),310000,6,310000,1,310000,6,310000,0,310000,0
0361-Nấm Agaricus 360 viên đỏ,Sản phẩm thường,Thuốc - TPCN,4515625200361,4515625200361,Có,550000,585000,580000,850000,585000,590000,Hộp,550000,7,550000,2,550000,2,550000,0,550000,0
1030-Tỏi đen Miya Makan 90 viên ,Sản phẩm thường,Thuốc - TPCN,4515625201030,4515625201030,Có,300000,320000,310000,420000,320000,330000,Hộp,300000,0,300000,0,300000,0,300000,0,300000,0
Thuốc trị đau xương khớp Glucosamin MK1600mg,Sản phẩm thường,Thuốc - TPCN,4515625201108,4515625201108,Có,400000,410000,410000,1250,410000,410000,hộp,400000,0,400000,0,400000,0,400000,0,400000,0
1214-Viên uống bổ sung DHA&EPA D354 180v,Sản phẩm thường,Thuốc - TPCN,4515625201214,4515625201214,Có,400000,415000,415000,580000,415000,420000,hộp,400000,0,400000,0,400000,0,400000,0,400000,0
1238-Viên uống chống đột quỵ 5000FU Premium 120 viên,Sản phẩm thường,Thuốc - TPCN,4515625201238,4515625201238,Có,570000,620000,600000,800000,620000,630000,Hộp,570000,8,570000,4,570000,0,570000,0,570000,0
1021-TPCN bổ mắt việt quất Realnet 60 viên,Sản phẩm thường,Thuốc - TPCN,4516549201021,4516549201021,Có,350000,,,500000,,,Hộp,350000,2,350000,2,350000,0,350000,0,350000,0
Nấm Linh chi Naoi 270 viên,Sản phẩm thường,Thuốc - TPCN,4517302001001,4517302001001,Có,2300,2450,2450,2900,2450,2480,Hộp,2300,0,2300,0,2300,0,2300,0,2300,0
2145-Bột Sụn Cá Hồi SCP Complex LS 60 gói,Sản phẩm thường,Thuốc - TPCN,4517302002145,4517302002145,Có,2200,2300,2250,2650,2300,2350,Hộp,2200,0,2200,0,2200,2,2200,0,2200,0
0728-Thuốc Glucosamin ông già 30 viên ,Sản phẩm thường,Thuốc - TPCN,452193140728,452193140728,Có,350000,370000,365000,500000,370000,380000,Hộp,350000,0,350000,0,350000,0,350000,0,350000,0
0518-TPCN Nấm Agaricus DX 360 viên,Sản phẩm thường,Thuốc - TPCN,4524326200518,4524326200518,Có,550000,580000,570000,850000,580000,590000,Hộp,550000,1,550000,0,550000,0,550000,0,550000,0
0570-Thuốc bổ sung kiềm Soluble Chitosan DX 360v,Sản phẩm thường,Thuốc - TPCN,4524326200570,4524326200570,Có,350000,370000,370000,500000,370000,390000,hộp,350000,0,350000,0,350000,0,350000,0,350000,0
0709-Nấm Agaricus Super 300 viên,Sản phẩm thường,Thuốc - TPCN,4524326200709,4524326200709,Có,500000,530000,520000,700000,530000,550000,Hộp,500000,0,500000,2,500000,1,500000,0,500000,0
Sụn ​​cá mập Chondroitin 270v,Sản phẩm thường,Thuốc - TPCN,4524326201294,4524326201294,Có,400000,450000,450000,600000,450000,460000,Hộp,400000,0,400000,0,400000,0,400000,0,400000,0
Viên uống bổ sung DHA & EPA 150 viên,Sản phẩm thường,Thuốc - TPCN,4524326201508,4524326201508,Có,230000,250000,250000,400000,250000,270000,chai,230000,0,230000,0,230000,0,230000,0,230000,0
Thuốc bổ não Yuuki 90 viên C72,Sản phẩm thường,Thuốc - TPCN,4524326202208,4524326202208,Có,450000,490000,480000,680000,490000,500000,Hộp,450000,0,450000,1,450000,0,450000,0,450000,0
0016- Nước nghệ giải rượu House 100ml,Sản phẩm thường,Thuốc - TPCN,4530503700016,4530503700016,Có,45000,50000,48000,70000,50000,53000,Chai,45000,0,45000,0,45000,0,45000,0,45000,0
4182-Bột nghệ giải rượu ukon no chikara,Sản phẩm thường,Thuốc - TPCN,4530503704182,4530503704182,Có,405000,420000,410000,580000,420000,425000,Hộp,405000,0,405000,0,405000,0,405000,0,405000,0
Nước uống giải rượu House 100ml,Sản phẩm thường,Thuốc - TPCN,4530503856249,4530503856249,Có,60000,65000,65000,90000,65000,72000,chai(6x5),60000,0,60000,0,60000,0,60000,0,60000,0
1472-Bột nghệ giải rượu 32 gói House ,Sản phẩm thường,Thuốc - TPCN,4530503861472,4530503861472,Có,435000,470000,470000,600000,470000,460000,Hộp,435000,0,435000,0,435000,0,435000,0,435000,0
1489-Viên Nghệ giải rượu Super  Ukon-no-chikara,Sản phẩm thường,Thuốc - TPCN,4530503861489,4530503861489,Có,280000,300000,300000,400000,300000,310000,Hộp,280000,0,280000,0,280000,0,280000,0,280000,0
5630-Nước nghệ giải rượu House hương dứa 100ml,Sản phẩm thường,Thuốc - TPCN,4530503865630,4530503865630,Có,36000,45000,45000,55000,45000,47000,Chai(6x5),36000,0,36000,0,36000,0,36000,0,36000,0
7092- Viên uống giải độc gan House 30 viên  ,Sản phẩm thường,Thuốc - TPCN,4530503867092,4530503867092,Có,250000,280000,280000,400000,280000,290000,Hộp,250000,0,250000,0,250000,0,250000,0,250000,0
TPCN nghệ đen hỗ trợ dạ dày,Sản phẩm thường,Thuốc - TPCN,4540936002090,4540936002090,Có,625000,645000,640000,850000,645000,650000,Hộp,625000,3,625000,0,625000,0,625000,0,625000,0
0036-Viên uống Chondroitin Glucosamin Z-SX 720V,Sản phẩm thường,Thuốc - TPCN,4540936080036,4540936080036,Có,750000,800000,800000,950000,800000,820000,Hộp,750000,0,750000,0,750000,0,750000,0,750000,0
Miếng băng gối Dr Knee ,Sản phẩm thường,Thuốc - TPCN,4541315028861,4541315028861,Có,690000,750000,750000,950000,750000,800000,Cái,690000,0,690000,0,690000,0,690000,0,690000,0
9857-Viên nang tinh chất hoa hồng Bella Fora 35 viên,Sản phẩm thường,Thuốc - TPCN,4545593009857,4545593009857,Có,815000,835000,830000,1200,835000,840000,Hộp,815000,2,815000,1,815000,0,815000,0,815000,0
Thuốc bổ não AFC,Sản phẩm thường,Thuốc - TPCN,4545593010891,4545593010891,Có,180000,220000,220000,300000,220000,200000,hộp,180000,0,180000,0,180000,0,180000,0,180000,0
8337v-Băng keo cá nhân,Sản phẩm thường,Thuốc - TPCN,4549131208337,4549131208337,Có,28000,35000,35000,50000,35000,37000,hộp,28000,0,28000,0,28000,0,28000,0,28000,0
3181-TPCN Trio Fucoidan 180 viên,Sản phẩm thường,Thuốc - TPCN,4560202683181,4560202683181,Có,3500,3570,3550,6000,3570,3580,Hộp,3500,3,3500,0,3500,2,3500,0,3500,0
Fucoidan GOLD 180 viên,Sản phẩm thường,Thuốc - TPCN,4560274629599,4560274629599,Có,1495,1650,2600,2100,1650,2500,Chai,1495,0,1495,2,1495,1,1495,0,1495,0
Nattokinnase EX  60 viên ,Sản phẩm thường,Thuốc - TPCN,4560438576011,4560438576011,Có,400000,430000,430000,580000,430000,440000,Hộp,400000,0,400000,0,400000,0,400000,0,400000,0
6070-Fucoidan Umino Minamoto 180 viên,Sản phẩm thường,Thuốc - TPCN,4560438960070,4560438960070,Có,1750,1850,1800,2450,1850,1870,Hộp,1750,0,1750,0,1750,0,1750,0,1750,0
Viên nghệ RBR giải rượu,Sản phẩm thường,Thuốc - TPCN,4560444240128,4560444240128,Có,350000,400000,400000,600000,400000,380000,hộp,350000,0,350000,0,350000,0,350000,0,350000,0
TPCN Bổ mắt Metel 120v,Sản phẩm thường,Thuốc - TPCN,4562119110187,4562119110187,Có,617500,640000,640000,750000,640000,650000,Hộp,617500,5,617500,1,617500,12,617500,0,617500,0
4062-Thuốc tiền mãn kinh Resvertrol 120v,Sản phẩm thường,Thuốc - TPCN,4562119114062,4562119114062,Có,875000,930000,920000,1050,930000,935000,Hộp,875000,2,875000,0,875000,2,875000,0,875000,0
0506-Viên uống glucosamin Noguchi hỗ trợ xương khớp MSM 360 viên,Sản phẩm thường,Thuốc - TPCN,4562193140506,4562193140506,Có,400000,460000,450000,650000,460000,465000,Hộp,400000,6,400000,1,400000,3,400000,0,400000,0
Viên uống Chondoroitin Glucosamin hỗ trợ xương khớp 300v,Sản phẩm thường,Thuốc - TPCN,4562193140513,4562193140513,Có,300000,360000,350000,550000,360000,370000,hộp,300000,4,300000,4,300000,4,300000,0,300000,0
0520-Thuốc bổ mắt chiết xuất việt quất ông già 30 viên,Sản phẩm thường,Thuốc - TPCN,4562193140520,4562193140520,Có,350000,405000,400000,550000,405000,410000,Hộp,350000,3,350000,1,350000,0,350000,0,350000,0
0537-Tinh nghệ thải độc gan Noguchi 60v,Sản phẩm thường,Thuốc - TPCN,4562193140537,4562193140537,Có,240000,255000,250000,400000,255000,260000,hộp,240000,9,240000,3,240000,4,240000,0,240000,0
