Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Rượu Suntory Whisky 700ml (T),Sản phẩm thường,Rượu - Thuốc lá,4901777284289,4901777284289,Có,300000,320000,320000,350000,320000,350000,Chai(12),300000,0,300000,0,300000,0,300000,0,300000,0
Rượu Hibiki Harmony Master's Select ,Sản phẩm thường,Rượu - Thuốc lá,4901777292321,4901777292321,Có,2700,2420,2400,3100,2420,2450,chai,2700,0,2700,0,2700,0,2700,0,2700,0
Rượu Suntory Blended Whisky,Sản phẩm thường,Rượu - Thuốc lá,4901777306837,4901777306837,Có,2400,1950,1950,1950,1950,1950,Chai,2400,1,2400,0,2400,0,2400,0,2400,0
1632-Rượu Hibiki Blender's Choice ,Sản phẩm thường,Rượu - Thuốc lá,4901777321632,4901777321632,Có,2700,3050,3000,3700,3050,3100,Chai,2700,1,2700,0,2700,0,2700,0,2700,0
Suntorry con heo nhãn dán ,Sản phẩm thường,Rượu - Thuốc lá,4901777323438,4901777323438,Có,435000,530000,500000,600000,530000,550000,Chai(12),435000,0,435000,0,435000,0,435000,0,435000,0
Rượu Suntory Whisky Royal con chuột sứ LMT,Sản phẩm thường,Rượu - Thuốc lá,4901777345294,4901777345294,Có,2450,2600,2600,2850,2600,2650,Chai (6),2450,5,2450,2,2450,6,2450,0,2450,0
Rượu Suntory old whisky nhãn con chuột ,Sản phẩm thường,Rượu - Thuốc lá,4901777345317,4901777345317,Có,470000,490000,480000,700000,490000,500000,Chai (12),470000,0,470000,0,470000,0,470000,0,470000,0
Rượu Sake 1.8 Lít  Kokobuki hoa đào,Sản phẩm thường,Rượu - Thuốc lá,4901903006327,4901903006327,Có,480000,510000,510000,750000,510000,520000,chai,480000,0,480000,0,480000,0,480000,0,480000,0
Rượu mơ Premium Umeshu Genshu 720ml,Sản phẩm thường,Rượu - Thuốc lá,4902650046215,4902650046215,Có,650000,720000,700000,850000,720000,730000,Chai,650000,0,650000,1,650000,0,650000,0,650000,0
Rượu Sake vẩy vàng NENOHI 1.8L,Sản phẩm thường,Rượu - Thuốc lá,4902856611002,4902856611002,Có,480000,520000,500000,800000,520000,530000,Chai (6),480000,0,480000,4,480000,0,480000,0,480000,0
