Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Bánh hộp Colombin Merville (27 gói/hộp),Sản phẩm thường,Bánh kẹo,4973123008467,4973123008467,Có,270000,290000,290000,400000,290000,300000,Hộp,270000,0,270000,0,270000,0,270000,0,270000,0
8179-Kẹo Singum Meigum hương nho 3 viên,Sản phẩm thường,Bánh kẹo,49738179,49738179,Có,6200,8000,7500,10000,8000,8500,Gói(20),6200,0,6200,0,6200,0,6200,0,6200,0
Kẹo Donan Vị Bia 18 viên,Sản phẩm thường,Bánh kẹo,4974888201513,4974888201513,Có,30000,34000,33000,10000,34000,34000,Hộp(12*10),30000,0,30000,1,30000,5,30000,0,30000,0
Kẹo Donan Vị Bơ 18 viên,Sản phẩm thường,Bánh kẹo,4974888201810,4974888201810,Có,30000,34000,33000,10000,34000,34000,Hộp(12*10),30000,0,30000,0,30000,0,30000,0,30000,0
Kẹo Donan vị sữa 18 viên,Sản phẩm thường,Bánh kẹo,4974888201827,4974888201827,Có,30000,34000,33000,10000,34000,34000,Hộp(12*10),30000,0,30000,0,30000,1,30000,0,30000,0
Kẹo Donan dưa lưới 18 viên,Sản phẩm thường,Bánh kẹo,4974888201841,4974888201841,Có,30000,34000,33000,10000,34000,34000,Hộp(12*10),30000,0,30000,0,30000,0,30000,0,30000,0
Kẹo Donan Vị Đậu Đỏ 18 viên,Sản phẩm thường,Bánh kẹo,4974888201858,4974888201858,Có,30000,34000,33000,10000,34000,34000,Hộp(12*10),30000,0,30000,0,30000,1,30000,0,30000,0
Kẹo Donan hương dâu 18 viên,Sản phẩm thường,Bánh kẹo,4974888201889,4974888201889,Có,30000,34000,33000,10000,34000,34000,Hộp(12*10),30000,0,30000,0,30000,0,30000,0,30000,0
Kẹo Donan vị sữa 18 viên,Sản phẩm thường,Bánh kẹo,4974888201902,4974888201902,Có,30000,34000,33000,10000,34000,34000,Hộp(12*10),30000,0,30000,0,30000,0,30000,0,30000,0
Kẹo Donan hương trà 18 viên,Sản phẩm thường,Bánh kẹo,4974888202275,4974888202275,Có,30000,34000,33000,10000,34000,34000,Hộp(12*10),30000,0,30000,0,30000,0,30000,0,30000,0
Kẹo trà xanh Donan 18 viên,Sản phẩm thường,Bánh kẹo,4974888202282,4974888202282,Có,30000,34000,33000,10000,34000,34000,Hộp(12*10),30000,0,30000,1,30000,0,30000,0,30000,0
Bánh Akai Bohshi Blue Box 68g,Sản phẩm thường,Bánh kẹo,4975186142003,4975186142003,Có,80000,80000,80000,20000,80000,80000,Hộp(12),80000,0,80000,0,80000,0,80000,0,80000,0
Bánh Akai Bohshi hộp tím ,Sản phẩm thường,Bánh kẹo,4975186142010,4975186142010,Có,115000,125000,110000,30000,125000,130000,Hộp(9),115000,0,115000,0,115000,0,115000,0,115000,0
Bánh Akai Bohshi hộp vàng,Sản phẩm thường,Bánh kẹo,4975186142027,4975186142027,Có,180000,180000,160000,40000,180000,180000,Hộp(6),180000,0,180000,0,180000,0,180000,0,180000,0
Bánh Akai Bohshi 26 miếng ,Sản phẩm thường,Bánh kẹo,4975186142034,4975186142034,Có,220000,240000,235000,350000,240000,245000,Hộp(6),220000,0,220000,0,220000,0,220000,0,220000,0
Bánh Akai Bohshi 40 miếng ,Sản phẩm thường,Bánh kẹo,4975186142041,4975186142041,Có,280000,300000,300000,420000,300000,315000,Hộp (6),280000,0,280000,0,280000,0,280000,0,280000,0
Bánh AKAI BOHSHI 59 miếng,Sản phẩm thường,Bánh kẹo,4975186142058,4975186142058,Có,370000,420000,420000,550000,420000,400000,Hộp ( 6),370000,0,370000,0,370000,0,370000,0,370000,0
Bánh Akai Bohshi 88 miếng,Sản phẩm thường,Bánh kẹo,4975186142065,4975186142065,Có,550000,590000,590000,750000,590000,590000,Hộp(3),550000,0,550000,0,550000,0,550000,0,550000,0
"4906-Bánh quy Kukkia nhân dâu, trà xanh 20 gói",Sản phẩm thường,Bánh kẹo,4975186164906,4975186164906,Có,130000,150000,150000,220000,150000,155000,Hộp,130000,0,130000,0,130000,0,130000,0,130000,0
