Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
5211-Xịt chống côn trùng Salatecto Cool 200ml,Sản phẩm thường,Hóa Mỹ Phẩm,4901080185211,4901080185211,Có,160000,170000,170000,250000,170000,175000,chai,160000,0,160000,0,160000,0,160000,0,160000,0
Nước súc miệng  Premium Care Sensitive 1080ml,Sản phẩm thường,Hóa Mỹ Phẩm,4901080504210,4901080504210,Có,170000,180000,180000,250000,180000,185000,chai,170000,0,170000,0,170000,0,170000,0,170000,0
4715-NSM Mondahmin trà xanh 1080ml,Sản phẩm thường,Hóa Mỹ Phẩm,4901080504715,4901080504715,Có,170000,180000,175000,250000,180000,185000,Chai,170000,0,170000,0,170000,0,170000,0,170000,0
Nước súc miệng Mondahmin bạc hà 1080ml,Sản phẩm thường,Hóa Mỹ Phẩm,4901080505316,4901080505316,Có,170000,180000,180000,250000,180000,185000,Chai(12),170000,0,170000,0,170000,0,170000,0,170000,0
Nước súc miệng Mondahmin trà xanh 1080ml,Sản phẩm thường,Hóa Mỹ Phẩm,4901080505811,4901080505811,Có,170000,180000,180000,250000,180000,185000,Chai(12),170000,0,170000,0,170000,0,170000,0,170000,0
6719-NSM Sensitive Premium 250ml,Sản phẩm thường,Hóa Mỹ Phẩm,4901080506719,4901080506719,Có,40000,47000,47000,65000,47000,48000,Chai,40000,0,40000,0,40000,0,40000,0,40000,0
2918-NSM Premium Care 1080ml,Sản phẩm thường,Hóa Mỹ Phẩm,4901080512918,4901080512918,Có,170000,180000,180000,250000,180000,195000,chai,170000,0,170000,0,170000,0,170000,0,170000,0
6717-NSM Medical Care 1000ml,Sản phẩm thường,Hóa Mỹ Phẩm,4901080526717,4901080526717,Có,170000,185000,185000,250000,185000,185000,Chai,170000,0,170000,0,170000,0,170000,0,170000,0
Nước súc miệng Night clear 1080ml,Sản phẩm thường,Hóa Mỹ Phẩm,4901080528919,4901080528919,Có,170000,180000,180000,250000,180000,185000,Chai,170000,0,170000,0,170000,0,170000,0,170000,0
Sữa tắm thảo dược,Sản phẩm thường,Hóa Mỹ Phẩm,4901080541413,4901080541413,Có,95000,105000,105000,120000,105000,105000,chai,95000,0,95000,0,95000,0,95000,0,95000,0
