Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Quần lót giấy nữ Daiso set 5,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4549131054187,4549131054187,Có,28000,33000,33000,40000,33000,35000,gói,28000,0,28000,0,28000,0,28000,0,28000,0
4255-Quần lót giấy nam Daiso set 5,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4549131054255,4549131054255,Có,28000,33000,33000,40000,33000,35000,set,28000,0,28000,0,28000,0,28000,0,28000,0
Khẩu trang Daiso 30 cái,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4549131487008,4549131487008,Có,28000,35000,35000,50000,35000,37000,Hộp,28000,0,28000,0,28000,0,28000,0,28000,0
Khăn tắm Daiso - 4587v,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4549131494587,4549131494587,Có,28000,32000,32000,40000,32000,35000,Cái,28000,1,28000,0,28000,0,28000,0,28000,0
Khẩu trang cho bé hồng 8M,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4560193008000,4560193008000,Có,28000,32000,32000,40000,32000,32000,gói,28000,0,28000,0,28000,0,28000,0,28000,0
Khăn tắm cotton cho nữ 23x100cm,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4560327989090,4560327989090,Có,26000,32000,32000,40000,32000,35000,Cái,26000,4,26000,6,26000,3,26000,0,26000,0
Khăn tắm Ouchi 30x100cm,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4571108082428,4571108082428,Có,70000,78000,78000,90000,78000,80000,Cái,70000,21,70000,0,70000,0,70000,0,70000,0
Nón kết Dry Plus,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4571318502464,4571318502464,Có,400000,480000,480000,600000,480000,495000,cái,400000,0,400000,0,400000,0,400000,0,400000,0
Túi bao tử Wildthings ,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4573149664144,4573149664144,Có,945000,1000,1000,1300,1000,1050,cái,945000,0,945000,0,945000,0,945000,0,945000,0
Quần tập Yoga - 0300v,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4573173450300,4573173450300,Có,190000,210000,210000,300000,210000,220000,Cái,190000,0,190000,0,190000,0,190000,0,190000,0
Áo lót nam cổ tròn 100% cotton kháng khuẩn size M set 2,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4582370513640,4582370513640,Có,122850,145000,140000,200000,145000,145000,Cái,122850,7,122850,10,122850,7,122850,0,122850,0
Áo lót nam cổ tròn 100% cotton kháng khuẩn size L set 2,Sản phẩm thường,"Quần áo - Khăn, tất, thảm",4582370513657,4582370513657,Có,122850,145000,140000,200000,145000,145000,Cái,122850,5,122850,9,122850,6,122850,0,122850,0
