Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Tã Moony quần M58 new,Sản phẩm thường,Tã sữa,4903111247462,4903111247462,Có,295000,315000,305000,370000,315000,320000,gói(2),295000,15,295000,7,295000,6,295000,0,295000,0
0200-Tã Moony quần XL44 bé trai,Sản phẩm thường,Tã sữa,4903111270200,4903111270200,Có,325000,345000,340000,400000,345000,350000,Gói(2),325000,8,325000,6,325000,0,325000,0,325000,0
0583-Tã Moony quần XL44 bé gái,Sản phẩm thường,Tã sữa,4903111270583,4903111270583,Có,325000,345000,340000,400000,345000,350000,Gói(2),325000,8,325000,6,325000,4,325000,0,325000,0
6851-Tã Moony quần L50 trai,Sản phẩm thường,Tã sữa,4903111276851,4903111276851,Có,325000,345000,340000,400000,345000,350000,Gói(2),325000,8,325000,6,325000,5,325000,0,325000,0
7278-Tã Moony quần L50 gái,Sản phẩm thường,Tã sữa,4903111277278,4903111277278,Có,325000,345000,340000,400000,345000,350000,Gói(2),325000,8,325000,6,325000,0,325000,0,325000,0
9920-Wakado cho bé sơ sinh đến 9 tháng 810g,Sản phẩm thường,Tã sữa,4987244179920,4987244179920,Có,445000,460000,455000,200000,460000,465000,Lon(8),445000,0,445000,0,445000,0,445000,0,445000,0
9968-Sữa Wakado cho bé 9 tháng - 3 tuổi 830g,Sản phẩm thường,Tã sữa,4987244179968,4987244179968,Có,355000,365000,360000,200000,365000,370000,Lon(8),355000,1,355000,0,355000,0,355000,0,355000,0
Glico thanh số 0,Sản phẩm thường,Tã sữa,4987386060513,4987386060513,Có,135000,150000,145000,170000,150000,155000,Hộp,135000,0,135000,0,135000,0,135000,0,135000,0
Sữa Glico 0 ,Sản phẩm thường,Tã sữa,4987386070215,4987386070215,Có,523600,535000,530000,600000,535000,537000,Hộp,523600,101,523600,28,523600,17,523600,0,523600,0
Sữa Glico 1-3  ,Sản phẩm thường,Tã sữa,4987386091210,4987386091210,Có,435600,445000,440000,500000,445000,447000,Hộp(8),435600,74,435600,16,435600,13,435600,0,435600,0
Glico 1-3 thanh ,Sản phẩm thường,Tã sữa,4987386091517,4987386091517,Có,135000,147000,147000,170000,147000,150000,Hộp,135000,4,135000,0,135000,0,135000,0,135000,0
1294-Sữa thanh Bean Stalk 0-1 18 thanh,Sản phẩm thường,Tã sữa,4987493000402,4987493000402,Có,260000,270000,270000,300000,270000,275000,Hộp,260000,0,260000,0,260000,0,260000,0,260000,0
1348-Sữa thanh Bean Stalk 9-3 18 thanh,Sản phẩm thường,Tã sữa,4987493001348,4987493001348,Có,50000,65000,60000,95000,65000,70000,Hộp,50000,0,50000,0,50000,0,50000,0,50000,0
Glico 0 5 thanh,Sản phẩm thường,Tã sữa,60315,60315,Có,0,220000,220000,40000,220000,225000,Gói,0,0,0,5,0,7,0,0,0,0
