Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Sốt lẩu Sukiyaki Bell Foods 400ml,Sản phẩm thường,Ăn Uống,4902504110031,4902504110031,Có,50000,58000,55000,70000,58000,60000,Chai (12),50000,12,50000,8,50000,4,50000,0,50000,0
Nước chấm thịt nướng Bell Foods 240g,Sản phẩm thường,Ăn Uống,4902504400453,4902504400453,Có,50000,55000,53000,70000,55000,57000,Chai (12),50000,13,50000,5,50000,6,50000,0,50000,0
Nước chấm thịt nướng vị cay Bell Foods 230g,Sản phẩm thường,Ăn Uống,4902504400903,4902504400903,Có,50000,55000,53000,70000,55000,57000,Chai (12),50000,16,50000,6,50000,7,50000,0,50000,0
Nước chấm thịt nướng vị táo nghiền Bell Foods 225g,Sản phẩm thường,Ăn Uống,4902504400927,4902504400927,Có,50000,55000,53000,70000,55000,57000,Chai (12),50000,11,50000,8,50000,11,50000,0,50000,0
Sốt Salad mè 215g,Sản phẩm thường,Ăn Uống,4902504400934,4902504400934,Có,50000,60000,60000,85000,60000,62000,Chai,50000,20,50000,2,50000,10,50000,0,50000,0
Sốt ướp thịt nướng Kalbee Bell Foods 230g,Sản phẩm thường,Ăn Uống,4902504400972,4902504400972,Có,50000,60000,55000,70000,60000,62000,Chai (12),50000,4,50000,8,50000,11,50000,0,50000,0
Sốt trộn Salad Mè 1.090g,Sản phẩm thường,Ăn Uống,4902504401009,4902504401009,Có,203000,215000,210000,270000,215000,220000,Chai (6),203000,13,203000,4,203000,6,203000,0,203000,0
Nước sốt cho món xào Butadon Bell Foods 245g,Sản phẩm thường,Ăn Uống,4902504401184,4902504401184,Có,50000,55000,53000,70000,55000,57000,Chai (12),50000,12,50000,6,50000,6,50000,0,50000,0
Nước chấm thịt cá vị củ cải Bell Foods 220g,Sản phẩm thường,Ăn Uống,4902504401252,4902504401252,Có,50000,58000,57000,70000,58000,60000,Chai (12),50000,11,50000,7,50000,8,50000,0,50000,0
Sốt Salad mè vị cay 220g,Sản phẩm thường,Ăn Uống,4902504401337,4902504401337,Có,50000,58000,55000,85000,58000,60000,Chai,50000,23,50000,14,50000,11,50000,0,50000,0
