Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
0339-Kem dưỡng tay Kose đào ,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710390339,4971710390339,Có,55000,60000,58000,100000,60000,65000,Tuýp (48),55000,0,55000,0,55000,0,55000,0,55000,0
0346-Kem dưỡng tay Kose mâm xôi,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710390346,4971710390346,Có,55000,62000,60000,100000,62000,65000,Tuýp (48),55000,0,55000,0,55000,0,55000,0,55000,0
0803-Mặt nạ Bihada xanh ý dĩ 7m,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710390803,4971710390803,Có,100000,110000,110000,150000,110000,115000,gói,100000,0,100000,0,100000,0,100000,0,100000,0
0810-Mặt nạ Bihada hồng rượu sake 7M,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710390810,4971710390810,Có,100000,110000,110000,150000,110000,115000,gói,100000,0,100000,0,100000,0,100000,0,100000,0
0827-Mặt nạ Bihada đen ngọc trai 7m,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710390827,4971710390827,Có,100000,105000,105000,150000,105000,110000,gói,100000,0,100000,0,100000,0,100000,0,100000,0
1718-Kem dưỡng da tay Q10 Whitening Medicated Deep 80g - tuýp cam,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710391718,4971710391718,Có,83000,90000,88000,120000,90000,920000,Tuýp,83000,4,83000,0,83000,6,83000,0,83000,0
2487-Kem dưỡng chống lão hóa  vùng mắt miệng Grace One 30g,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710392487,4971710392487,Có,220000,235000,235000,320000,235000,240000,Tuýp,220000,0,220000,0,220000,0,220000,0,220000,0
2517-Kem dưỡng tay Q10 Night Renew 80g - tuýp vàng đồng,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710392517,4971710392517,Có,83000,90000,88000,120000,90000,92000,tuýp,83000,2,83000,0,83000,0,83000,0,83000,0
2814-Kem dưỡng Kose hồng 90g,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710392814,4971710392814,Có,220000,,,350000,,,Hộp,220000,0,220000,0,220000,1,220000,0,220000,0
Mặt nạ Kose Premium hoa anh đào 4 miếng,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710393545,4971710393545,Có,170000,185000,185000,240000,185000,190000,Hộp,170000,0,170000,0,170000,0,170000,0,170000,0
3668-Kem dưỡng da Kose xanh 100g,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710393668,4971710393668,Có,220000,240000,235000,350000,240000,245000,Hộp,220000,0,220000,0,220000,1,220000,0,220000,0
4481-Kem dưỡng tay Q10 Fresh Peach ,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710394481,4971710394481,Có,83000,90000,88000,120000,90000,92000,tuýp,83000,5,83000,7,83000,0,83000,0,83000,0
Giấy thấm dầu Kose 100M,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710411508,4971710411508,Có,50000,65000,65000,70000,65000,70000,gói,50000,0,50000,0,50000,0,50000,0,50000,0
Giấy thấm dầu Kose hồng 80M,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710416909,4971710416909,Có,50000,55000,55000,70000,55000,60000,cái ,50000,0,50000,0,50000,0,50000,0,50000,0
Giấy thấm dầu Kose hồng 160M ,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710416916,4971710416916,Có,45000,50000,50000,70000,50000,55000,cái,45000,0,45000,0,45000,0,45000,0,45000,0
Giấy thấm dầu Kose hồng 80M,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710421255,4971710421255,Có,50000,55000,55000,70000,55000,60000,cái,50000,0,50000,0,50000,0,50000,0,50000,0
1262-Giấy thấm dầu Kose tím 150M,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710421262,4971710421262,Có,50000,55000,55000,70000,55000,60000,cái,50000,0,50000,0,50000,0,50000,0,50000,0
Má hồng Rimmel,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710432343,4971710432343,Có,140000,190000,190000,300000,190000,190000,Hộp,140000,0,140000,0,140000,0,140000,0,140000,0
Má hồng Rimmel,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710432367,4971710432367,Có,140000,190000,190000,300000,190000,190000,Hộp,140000,0,140000,0,140000,0,140000,0,140000,0
Má hồng Kose PK-4,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710442304,4971710442304,Có,150000,170000,170000,220000,170000,170000,hộp,150000,0,150000,0,150000,0,150000,0,150000,0
Má hồng Kose BE-5,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710442311,4971710442311,Có,150000,170000,170000,220000,170000,170000,hộp,150000,0,150000,0,150000,0,150000,0,150000,0
Má hồng Kose RD6,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710442328,4971710442328,Có,150000,170000,170000,220000,170000,170000,hộp,150000,0,150000,0,150000,0,150000,0,150000,0
Má hồng FASO,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710444476,4971710444476,Có,130000,170000,170000,250000,170000,170000,hộp,130000,0,130000,0,130000,0,130000,0,130000,0
Má hồng FASO,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710444483,4971710444483,Có,130000,170000,170000,250000,170000,170000,Hộp,130000,0,130000,0,130000,0,130000,0,130000,0
Má hồng FASO,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710444490,4971710444490,Có,130000,170000,170000,250000,170000,170000,Hộp,130000,0,130000,0,130000,0,130000,0,130000,0
Má hồng Rimmel,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710445831,4971710445831,Có,140000,190000,190000,300000,190000,190000,hộp,140000,0,140000,0,140000,0,140000,0,140000,0
Má hồng Rimmel,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710445855,4971710445855,Có,140000,190000,190000,300000,190000,190000,Hộp,140000,0,140000,0,140000,0,140000,0,140000,0
Phấn nền Kose OC-405,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710446739,4971710446739,Có,150000,220000,220000,300000,220000,220000,Hộp,150000,0,150000,0,150000,0,150000,0,150000,0
Phấn nền Kose BO-310,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710446760,4971710446760,Có,150000,220000,220000,300000,220000,220000,Hộp,150000,0,150000,0,150000,0,150000,0,150000,0
Màu mắt Visee ,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710448344,4971710448344,Có,140000,170000,170000,250000,170000,175000,Hộp,140000,0,140000,0,140000,0,140000,0,140000,0
9624-Emulsion Kose 60ml,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710449624,4971710449624,Có,250000,,,380000,,,Tuýp,250000,2,250000,0,250000,0,250000,0,250000,0
Má hồng Kose PK-7,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710449952,4971710449952,Có,150000,170000,170000,220000,170000,170000,hộp,150000,0,150000,0,150000,0,150000,0,150000,0
Lăn nách Sport Beauty,Sản phẩm thường,Mỹ Phẩm - DC trang điểm,4971710479263,4971710479263,Có,150000,165000,165000,200000,165000,165000,chai,150000,0,150000,0,150000,0,150000,0,150000,0
