Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU*,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
7259-Thảm Fiorellino Brown 50x120cm,Sản phẩm thường,Hàng gia dụng nhóm 1,2000011697259,2000011697259,Có,350000,405000,400000,480000,405000,410000,Cái,350000,2,350000,0,350000,1,350000,0,350000,0
1351-Thảm 50x80cm,Sản phẩm thường,Hàng gia dụng nhóm 1,2000012181351,2000012181351,Có,120000,145000,140000,200000,145000,150000,Cái,120000,2,120000,9,120000,2,120000,0,120000,0
1405-Thảm 44x120cm,Sản phẩm thường,Hàng gia dụng nhóm 1,2000012181405,2000012181405,Có,300000,360000,350000,450000,360000,365000,Cái,300000,0,300000,0,300000,1,300000,0,300000,0
Thảm bếp 44cm x240cm ,Sản phẩm thường,Hàng gia dụng nhóm 1,2000012181429,2000012181429,Có,520000,570000,560000,800000,570000,580000,Cái,520000,0,520000,0,520000,0,520000,0,520000,0
1450-Thảm 44x240cm,Sản phẩm thường,Hàng gia dụng nhóm 1,2000012181450,2000012181450,Có,420000,480000,470000,650000,480000,490000,Cái,420000,0,420000,3,420000,2,420000,0,420000,0
Kính bơi trẻ em ,Sản phẩm thường,Hàng gia dụng nhóm 1,201112,201112,Có,230000,260000,260000,320000,260000,270000,cái,230000,0,230000,0,230000,0,230000,0,230000,0
Kính bơi  ,Sản phẩm thường,Hàng gia dụng nhóm 1,2011121,2011121,Có,230000,280000,280000,320000,280000,285000,Cái,230000,0,230000,0,230000,0,230000,0,230000,0
Đồ gọt rau củ IKEA ,Sản phẩm thường,Hàng gia dụng nhóm 1,20163604102839,20163604102839,Có,125000,140000,140000,200000,140000,150000,Cái,125000,6,125000,0,125000,0,125000,0,125000,0
Bộ 17 món dụng cụ IKEA,Sản phẩm thường,Hàng gia dụng nhóm 1,20169253222049,20169253222049,Có,250000,290000,290000,500000,290000,300000,Bộ,250000,0,250000,0,250000,0,250000,0,250000,0
khay úp chén,Sản phẩm thường,Hàng gia dụng nhóm 1,20176951232509,20176951232509,Có,150000,185000,180000,300000,185000,190000,cái,150000,0,150000,0,150000,0,150000,0,150000,0
Chảo Green PAN 18cm IH tròn,Sản phẩm thường,Hàng gia dụng nhóm 1,202321,202321,Có,450000,500000,500000,650000,500000,510000,Cái ,450000,0,450000,0,450000,0,450000,0,450000,0
Chảo Green PAN 18cm IH vuông,Sản phẩm thường,Hàng gia dụng nhóm 1,202322,202322,Có,450000,500000,500000,650000,500000,510000,Cái,450000,0,450000,0,450000,0,450000,0,450000,0
Dao Kai thép lớn,Sản phẩm thường,Hàng gia dụng nhóm 1,20361,20361,Có,290000,350000,350000,450000,350000,360000,cái,290000,11,290000,12,290000,11,290000,0,290000,0
Dao Kai thép nhỏ,Sản phẩm thường,Hàng gia dụng nhóm 1,20362,20362,Có,280000,,,420000,,,cái,280000,1,280000,0,280000,0,280000,0,280000,0
1439-Set 2 chai đựng đồ chấm ORTFYLLD,Sản phẩm thường,Hàng gia dụng nhóm 1,20391352211439,20391352211439,Có,240000,270000,260000,380000,270000,280000,Set,240000,2,240000,0,240000,2,240000,0,240000,0
4659-Thảm Ljorring 70x100cm,Sản phẩm thường,Hàng gia dụng nhóm 1,20418813124659,20418813124659,Có,778000,830000,820000,980000,830000,840000,Cái,778000,6,778000,6,778000,3,778000,0,778000,0
Đèn Led lon,Sản phẩm thường,Hàng gia dụng nhóm 1,21023,21023,Có,200000,300000,300000,400000,300000,300000,Cái,200000,0,200000,0,200000,0,200000,0,200000,0
Pin sạc 2A  (set 4),Sản phẩm thường,Hàng gia dụng nhóm 1,222022,222022,Có,230000,250000,250000,300000,250000,260000,cái,230000,0,230000,0,230000,0,230000,0,230000,0
Nồi nấu lẩu Vermani Horo 26cm ,Sản phẩm thường,Hàng gia dụng nhóm 1,2400005574601,2400005574601,Có,600000,650000,650000,750000,650000,660000,Cái,600000,0,600000,0,600000,0,600000,0,600000,0
Máy sấy tóc Nano Panasonic EH-NA9A,Sản phẩm thường,Hàng gia dụng nhóm 1,2400033358693,2400033358693,Có,3550,3750,3750,4750,3750,3750,Cái,3550,0,3550,0,3550,0,3550,0,3550,0
Máy  huyết áp TANITA đo cổ tay,Sản phẩm thường,Hàng gia dụng nhóm 1,2575540,2575540,Có,600000,660000,650000,950000,660000,670000,Cái,600000,2,600000,4,600000,2,600000,0,600000,0
Dù gấp cao cấp chấm bi,Sản phẩm thường,Hàng gia dụng nhóm 1,2900,2900,Có,247500,280000,280000,350000,280000,320000,cái,247500,0,247500,0,247500,0,247500,0,247500,0
Máy cạo râu Panasonic ĐIỆN 100V,Sản phẩm thường,Hàng gia dụng nhóm 1,30012,30012,Có,900000,1100,1100,1450,1100,1150,cái,900000,0,900000,0,900000,0,900000,0,900000,0
Máy cạo râu Panasonic  auto ,Sản phẩm thường,Hàng gia dụng nhóm 1,30013,30013,Có,1070,1200,1200,1450,1200,1250,cái,1070,0,1070,0,1070,0,1070,0,1070,0
Máy khoan lớn IKEA,Sản phẩm thường,Hàng gia dụng nhóm 1,30232904222049,30232904222049,Có,1260,1350,1350,1600,1350,1400,Bộ,1260,0,1260,1,1260,0,1260,0,1260,0
Miếng nhấc nồi IKEA màu cam,Sản phẩm thường,Hàng gia dụng nhóm 1,30328001221959,30328001221959,Có,76000,85000,80000,130000,85000,87000,Cặp,76000,8,76000,2,76000,3,76000,0,76000,0
2429-Thảm Karbak 70x100cm,Sản phẩm thường,Hàng gia dụng nhóm 1,30418822222429,30418822222429,Có,337000,390000,380000,500000,390000,395000,Cái,337000,12,337000,8,337000,8,337000,0,337000,0
Nồi áp suất T-Fal 4.5L,Sản phẩm thường,Hàng gia dụng nhóm 1,3045380012585,3045380012585,Có,3300,3500,3450,4000,3500,3550,Cái,3300,0,3300,0,3300,0,3300,0,3300,0
Nồi áp suất T-Fal 6L màu tím,Sản phẩm thường,Hàng gia dụng nhóm 1,3045380012615,3045380012615,Có,3600,3800,3750,4500,3800,3850,Cái,3600,0,3600,1,3600,1,3600,0,3600,0
Nồi áp suất Tfal 6L,Sản phẩm thường,Hàng gia dụng nhóm 1,3045380012639,3045380012639,Có,3650,3900,3900,4250,3900,3950,Cái,3650,0,3650,0,3650,0,3650,0,3650,0
Nồi áp suất Tfal 4.5L,Sản phẩm thường,Hàng gia dụng nhóm 1,3045380012646,3045380012646,Có,3400,3550,3550,4000,3550,3600,cái,3400,0,3400,0,3400,0,3400,0,3400,0
Nồi áp suất Tfal 4.2L,Sản phẩm thường,Hàng gia dụng nhóm 1,3045380012660,3045380012660,Có,2600,2950,2950,3200,2950,3000,Cái,2600,1,2600,1,2600,2,2600,0,2600,0
Nồi áp suất T-Fal 5.2 Lít ,Sản phẩm thường,Hàng gia dụng nhóm 1,3045380012684,3045380012684,Có,2900,3200,3150,3500,3200,3250,Cái,2900,1,2900,1,2900,2,2900,0,2900,0
Nồi áp suất T-Fal 6L IH,Sản phẩm thường,Hàng gia dụng nhóm 1,3045380014947,3045380014947,Có,3300,3500,3450,4000,3500,3550,Cái,3300,4,3300,0,3300,1,3300,0,3300,0
Nồi áp suất Tfal IH 6L (P4360731),Sản phẩm thường,Hàng gia dụng nhóm 1,3045384378311,3045384378311,Có,2800,2950,2900,3500,2950,2980,Cái,2800,0,2800,0,2800,0,2800,0,2800,0
Nồi áp suất Tfal 6 lít màu đỏ,Sản phẩm thường,Hàng gia dụng nhóm 1,3045384378328,3045384378328,Có,3300,3500,3500,4000,3500,3600,cái,3300,0,3300,0,3300,0,3300,0,3300,0
Nồi đa năng không chiên TFal Cook 4me,Sản phẩm thường,Hàng gia dụng nhóm 1,3045386360765,3045386360765,Có,4000,4200,4150,5900,4200,4250,cái,4000,1,4000,1,4000,1,4000,0,4000,0
Nồi chiên không dầu TFal 3in1 (FZ205088),Sản phẩm thường,Hàng gia dụng nhóm 1,3045386367009,3045386367009,Có,4000,4400,4300,5800,4400,4500,Cái ,4000,3,4000,2,4000,5,4000,0,4000,0
Ấm siêu tốc Tfal 1.2L màu xám,Sản phẩm thường,Hàng gia dụng nhóm 1,3045386368754,3045386368754,Có,800000,900000,900000,1100,900000,920000,Cái,800000,2,800000,0,800000,0,800000,0,800000,0
Ấm siêu tốc TfaL 1.2L màu hồng,Sản phẩm thường,Hàng gia dụng nhóm 1,3045386368778,3045386368778,Có,800000,900000,900000,1100,900000,920000,Cái,800000,1,800000,2,800000,0,800000,0,800000,0
Ấm siêu tốc Tfal 1.2L màu đen ,Sản phẩm thường,Hàng gia dụng nhóm 1,3045386368792,3045386368792,Có,800000,900000,900000,1100,900000,920000,cái,800000,3,800000,1,800000,1,800000,0,800000,0
"Ấm siêu tốc Tfal1,7L",Sản phẩm thường,Hàng gia dụng nhóm 1,3045386373598,3045386373598,Có,900000,950000,950000,1200,950000,980000,cái,900000,0,900000,0,900000,0,900000,0,900000,0
